student_id,DOB,gender,district,city,ethnicity,feeder_id
1,3/20/1983,F,BELIZE,BELIZE CITY,Creole,164
19,12/27/1980,F,ORANGE WALK,ORANGE WALK TOWN,Mestizo,164
56,10/30/1981,M,CAYO,BELMOPAN CITY,Mestizo,164
105,5/31/1976,M,BELIZE,CAYO,Unknown,165
109,8/4/1981,M,BELIZE,CAYO,Unknown,162
120,1/3/1983,F,BELIZE,BELIZE CITY,Creole,164
138,7/26/1978,M,BELIZE,HATTIEVILLE VILLAGE,Creole,152
141,1/27/1981,M,,,Oriental,164
158,6/21/1983,M,STANN CREEK,DANGRIGA TOWN,Garifuna,164
172,10/21/1983,M,CAYO,BULLET TREE FALLS,Mestizo,164
189,1/22/1984,M,CAYO,BELMOPAN CITY,Mestizo,164
204,3/25/1983,F,BELIZE,CAYO,Mestizo,164
227,5/30/1980,M,BELIZE,SAN PEDRO,Other,164
246,4/29/1981,F,CAYO,BELMOPAN CITY,Mestizo,164
265,4/12/1982,M,CAYO,BULLET TREE FALLS,Mestizo,164
270,8/3/1980,M,ORANGE WALK,ORANGE WALK TOWN,Mestizo,135
292,6/23/1981,M,BELIZE,CAYO,Mestizo,164
310,4/13/1963,M,CAYO,BENQUE VIEJO DEL CARMEN,Mestizo,148
343,1/16/1981,M,TOLEDO,-,East Indian,105
384,5/1/1981,F,CAYO,CAYO,Other,164
408,3/26/1974,M,BELIZE,BELIZE CITY,Creole,107
414,7/5/1979,M,CAYO,CAYO,Mestizo,143
417,9/10/1982,F,CAYO,SAN IGNACIO,Other,165
437,7/22/1982,F,TOLEDO,PUNTA GORDA,Other,164
465,10/29/1982,F,TOLEDO,PUNTA GORDA,Creole,164
496,1/10/1980,M,STANN CREEK,DANGRIGA TOWN,Garifuna,155
498,12/8/1971,F,BELIZE,BELIZE CITY,Other,163
512,5/8/1983,F,BELIZE,CAYE CAULKER,Other,165
520,3/23/1977,M,COROZAL,SAN NARCISO VILLAGE,Mestizo,117
555,7/28/1983,M,CAYO,BELMOPAN CITY,Garifuna,164
567,8/21/1981,F,CAYO,BELMOPAN CITY,Oriental,164
584,10/29/1976,M,CAYO,BENQUE VIEJO DEL CARMEN,Mestizo,164
603,11/21/1983,F,CAYO,-,East Indian,143
606,5/19/1983,F,CAYO,BELMOPAN CITY,East Indian,164
625,10/19/1980,F,CAYO,BELMOPAN CITY,Creole,164
645,10/25/1974,M,ORANGE WALK,ORANGE WALK TOWN,Mestizo,164
665,3/24/1984,M,CAYO,ROARING CREEK VILLAGE,Mayan,164
